t,des_x,des_y,act_x,act_y,v,omega
0.096292,0.256613,0.297881,0.000000,0.000000,0.800000,0.875951
0.196283,0.270898,0.355019,0.000000,0.000000,0.800000,0.956063
0.296267,0.285181,0.412152,0.000000,0.000000,0.800000,1.026823
0.396277,0.299468,0.469301,0.000000,0.000000,0.800000,1.091500
0.496295,0.313756,0.526454,0.000000,0.000000,0.800000,1.152229
0.596275,0.328039,0.583586,0.000000,0.000000,0.800000,1.210385
0.696239,0.342320,0.640708,0.000000,0.000000,0.800000,1.266843
0.796281,0.356612,0.697875,0.000000,0.000000,0.800000,1.322083
0.896254,0.370893,0.755002,0.000000,0.000000,0.800000,1.376070
0.996256,0.385179,0.812146,0.000000,0.000000,0.800000,1.428520
1.096239,0.399463,0.869280,0.000059,-0.000001,0.800000,1.478614
1.196246,0.413749,0.926426,0.000059,-0.000001,0.800000,1.500000
1.296240,0.428034,0.983566,0.000059,-0.000001,0.800000,1.500000
1.396240,0.442320,1.040708,0.000059,-0.000001,0.800000,1.500000
1.496259,0.456608,1.097862,0.000059,-0.000001,0.800000,1.500000
1.596245,0.470892,1.154997,0.000059,-0.000001,0.800000,1.500000
1.696284,0.485183,1.212162,0.000059,-0.000001,0.800000,1.500000
1.796373,0.499482,1.269356,0.000059,-0.000001,0.800000,1.500000
1.896284,0.513755,1.326448,0.000059,-0.000001,0.800000,1.500000
1.996253,0.528036,1.383573,0.003524,-0.000001,0.800000,1.500000
2.096243,0.542320,1.440710,0.017388,-0.000006,-0.339781,1.500000
2.196287,0.556612,1.497878,0.034721,-0.000017,-0.800000,1.500000
2.296270,0.570896,1.555011,0.041663,-0.000023,-0.800000,1.500000
2.396280,0.585183,1.612160,0.038213,-0.000018,-0.800000,1.500000
2.496242,0.599463,1.669281,0.024363,0.000003,-0.800000,1.500000
2.596248,0.613750,1.726428,0.000106,0.000046,-0.800000,1.500000
2.696271,0.628039,1.783583,-0.034557,0.000119,-0.800000,1.500000
2.796248,0.642321,1.840713,-0.079626,0.000226,-0.800000,1.500000
2.896277,0.656611,1.897872,-0.115454,0.000320,-0.800000,1.500000
2.996301,0.670900,1.955029,-0.177867,0.000499,-0.800000,1.500000
3.096293,0.685185,2.012168,-0.248966,0.000431,0.800000,1.500000
3.196301,0.699472,2.069315,-0.320056,-0.003111,0.800000,0.702336
3.296298,0.713757,2.126456,-0.380450,-0.010069,0.800000,0.636895
3.396255,0.728036,2.183574,-0.430049,-0.019078,0.800000,0.572019
3.496296,0.742328,2.240741,-0.468881,-0.028759,0.800000,0.507124
3.596298,0.756614,2.297884,-0.497021,-0.037725,0.800000,0.441511
3.696295,0.770899,2.355026,-0.514637,-0.044647,0.800000,0.371944
3.796300,0.785186,2.412171,-0.522578,-0.048332,0.800000,0.306227
3.896294,0.799471,2.469311,-0.521459,-0.047665,0.800000,0.243437
3.996297,0.813757,2.526455,-0.511962,-0.041482,0.800000,0.186017
4.096253,0.828036,2.583573,-0.494587,-0.028834,0.800000,0.131265
4.196256,0.842322,2.640718,-0.470099,-0.008981,0.800000,0.081677
4.296314,0.856616,2.697894,-0.450095,0.008557,0.800000,0.050760
4.396281,0.870897,2.755018,-0.415352,0.041502,0.800000,0.008379
4.496280,0.885183,2.812160,-0.379794,0.078563,0.800000,-0.043090
4.596281,0.899469,2.869303,-0.340232,0.125406,0.800000,-0.103886
4.696281,0.913754,2.926446,-0.299368,0.181954,0.800000,-0.159987
4.796356,0.928051,2.983632,-0.261115,0.240027,0.800000,-0.185678
4.896298,0.942328,3.040742,-0.222446,0.300484,0.800000,-0.186808
4.996293,0.956613,3.097882,-0.182834,0.362084,0.800000,-0.170092
5.096319,0.970903,3.155040,-0.141840,0.422058,0.800000,-0.149956
5.196291,0.985184,3.212167,-0.098771,0.482887,0.800000,-0.135099
5.296307,0.999472,3.269318,-0.054444,0.542842,0.800000,-0.121639
5.396267,1.013752,3.326438,-0.007458,0.606752,0.800000,-0.108733
5.496271,1.028039,3.383583,0.041804,0.670036,0.800000,0.639998
5.596261,1.042323,3.440720,0.093697,0.733582,0.800000,0.659120
5.696258,1.056608,3.497862,0.141732,0.799424,0.800000,0.593332
5.796302,1.070900,3.555030,0.171327,0.845041,0.800000,0.548991
5.896293,1.085185,3.612168,0.212235,0.915622,0.800000,0.494233
5.996286,1.099469,3.669306,0.249206,0.988345,0.800000,0.442778
6.096324,1.113761,3.726471,0.282520,1.062777,0.800000,0.395695
6.196277,1.128040,3.783587,0.312368,1.138551,0.800000,0.351799
6.296321,1.142332,3.840755,0.339184,1.215578,0.800000,0.314170
6.396314,1.156616,3.897894,0.363144,1.293433,0.800000,0.279295
6.496278,1.170897,3.955016,0.384505,1.372028,0.800000,0.247949
6.596311,1.185187,4.012178,0.403525,1.451226,0.800000,0.220020
6.696312,1.199473,4.069321,0.420464,1.530938,0.800000,0.195562
6.796319,1.213760,4.126468,0.435603,1.611090,0.800000,0.174907
6.896274,1.228039,4.183585,0.449162,1.691517,0.800000,0.156311
6.996266,1.242324,4.240724,0.461300,1.772163,0.800000,0.139721
7.096265,1.256609,4.297866,0.472165,1.852984,0.800000,0.124928
7.196342,1.270906,4.355052,0.478772,1.906942,0.800000,0.115703
7.296295,1.285185,4.412168,0.487821,1.987974,0.800000,0.103814
7.396293,1.299470,4.469310,0.495929,2.069096,0.800000,0.092799
7.496337,1.313762,4.526478,0.503193,2.150289,0.800000,0.082833
7.596333,1.328048,4.583619,0.509697,2.231543,0.800000,0.073808
7.696340,1.342334,4.640766,0.515525,2.312856,0.800000,0.065813
7.796340,1.356620,4.697909,0.520758,2.394207,0.800000,0.058629
7.896336,1.370905,4.755049,0.525469,2.475590,0.800000,0.052190
7.996333,1.385190,4.812190,0.529699,2.556994,0.800000,0.046392
8.096332,1.399476,4.869332,0.533493,2.638414,0.800000,0.041161
8.196325,1.413761,4.926472,0.536904,2.719868,0.800000,0.036427
8.296326,1.428047,4.983615,0.539972,2.801344,0.800000,0.032110
8.396298,1.442328,5.040742,0.542739,2.882840,0.800000,0.028131
8.496284,1.456612,5.097876,0.545240,2.964352,0.800000,0.024399
8.596288,1.470898,5.155021,0.547523,3.045842,0.800000,0.020599
8.696322,1.485189,5.212184,0.548905,3.100186,0.800000,0.017301
8.796332,1.499476,5.269332,0.550803,3.181749,0.800000,0.013004
8.896343,1.513763,5.326482,0.552567,3.263324,0.800000,0.007524
8.996310,1.528044,5.383606,0.554226,3.344912,0.800000,-0.001898
9.096291,1.542327,5.440738,0.555833,3.426515,0.800000,-0.028945
9.196289,1.556613,5.497879,0.557489,3.508133,0.800000,-0.763442
9.296303,1.570900,5.555031,0.559112,3.589756,0.800000,-0.770413
9.396303,1.585186,5.612173,0.563569,3.671419,0.800000,-0.687154
9.496329,1.599476,5.669331,0.574373,3.752470,0.800000,-0.615611
9.596354,1.613765,5.726488,0.590778,3.832565,0.800000,-0.551472
9.696313,1.628045,5.783607,0.612088,3.911490,0.800000,-0.493159
9.796291,1.642327,5.840738,0.637711,3.989092,0.800000,-0.440693
9.896333,1.656619,5.897905,0.667141,4.064888,0.800000,0.331184
9.996294,1.670899,5.955025,0.699879,4.138405,0.800000,0.418594
10.096311,1.685187,6.012178,0.722200,4.185920,0.800000,0.421935
10.196362,1.699480,6.069350,0.755205,4.259535,0.800000,0.395412
10.296334,1.713762,6.126477,0.785709,4.335052,0.800000,0.357307
10.396360,1.728051,6.183634,0.813222,4.411779,0.800000,0.320820
10.496356,1.742337,6.240775,0.837974,4.489438,0.800000,0.287400
10.596356,1.756622,6.297918,0.860212,4.567851,0.800000,0.257197
10.696359,1.770908,6.355062,0.880173,4.646869,0.800000,0.230108
10.796341,1.785192,6.412195,0.898083,4.726377,0.800000,0.205914
10.896323,1.799475,6.469328,0.914148,4.806288,0.800000,0.184170
10.996348,1.813764,6.526485,0.928556,4.886522,0.800000,0.164664
11.096311,1.828044,6.583607,0.941461,4.966974,0.800000,0.146911
11.196313,1.842330,6.640750,0.952959,5.047430,0.800000,0.128237
11.296298,1.856614,6.697885,0.962812,5.127844,0.800000,0.108038
11.396292,1.870899,6.755024,0.971036,5.208320,0.800000,0.088078
11.496311,1.885187,6.812178,0.977728,5.288930,0.800000,0.069603
11.596328,1.899475,6.869330,0.981435,5.342791,0.800000,0.058584
11.696339,1.913763,6.926479,0.986197,5.424072,0.800000,0.049624
11.796365,1.928052,6.983637,0.990466,5.505559,0.800000,0.042629
11.896362,1.942337,7.040778,0.994320,5.587122,0.800000,0.036270
11.996322,1.956617,7.097898,0.997895,5.668672,0.800000,0.029082
12.096360,1.970909,7.155063,1.001146,5.750208,0.800000,0.019980
12.196361,1.985194,7.212206,1.004165,5.831792,0.800000,0.003625
12.296336,1.999477,7.269335,1.007050,5.913379,0.800000,-0.061649
12.396355,2.013765,7.326489,1.009992,5.994978,0.800000,-0.746154
12.496356,2.028051,7.383632,1.013550,6.076576,0.800000,-0.730412
12.596352,2.042336,7.440772,1.021600,6.157943,0.800000,-0.648984
12.696357,2.056622,7.497918,1.035554,6.238481,0.800000,-0.578898
12.796347,2.070907,7.555056,1.054729,6.317917,0.800000,-0.517642
12.896353,2.085193,7.612202,1.078490,6.396081,0.800000,-0.462947
12.996310,2.099473,7.669320,1.096574,6.447248,0.800000,-0.426874
13.096342,2.113763,7.726481,1.127033,6.522734,0.800000,0.357619
13.196328,2.128047,7.783616,1.160464,6.595919,0.800000,0.429273
13.296348,2.142335,7.840770,1.194493,6.667447,0.800000,0.424326
13.396335,2.156619,7.897905,1.227190,6.741660,0.800000,0.388308
13.496372,2.170910,7.955070,1.256964,6.817488,0.800000,0.349084
13.596360,2.185194,8.012206,1.283773,6.894446,0.800000,0.312942
13.696301,2.199472,8.069315,1.307877,6.972308,0.800000,0.280183
13.796365,2.213766,8.126494,1.329522,7.050896,0.800000,0.250754
13.896322,2.228046,8.183612,1.348949,7.130083,0.800000,0.224412
13.996317,2.242331,8.240753,1.366377,7.209742,0.800000,0.200749
14.096356,2.256622,8.297918,1.382016,7.289785,0.800000,0.179521
14.196365,2.270909,8.355066,1.396047,7.370139,0.800000,0.092912
14.296313,2.285188,8.412179,1.408700,7.450694,0.800000,-0.071557
14.396355,2.299479,8.469345,1.416677,7.504516,0.800000,-0.071114
14.496354,2.313765,8.526488,1.428246,7.585344,0.800000,-0.251548
14.596343,2.328049,8.583624,1.440728,7.665996,0.800000,-0.419444
14.696352,2.342336,8.640772,1.455532,7.746338,0.800000,-0.536914
14.796337,2.356620,8.697907,1.473898,7.825972,0.800000,-0.590468
14.896382,2.370912,8.755076,1.496638,7.904479,0.800000,-0.588346
14.996386,2.385198,8.812221,1.524032,7.981477,0.800000,-0.546016
15.096343,2.399479,8.867922,1.555923,8.056707,0.800000,-0.483448
15.196349,2.413771,8.920623,1.591863,8.130066,0.800000,-0.416201
15.296378,2.428070,8.970342,1.631227,8.201324,0.800000,-0.346394
15.396378,2.442368,9.017090,1.673755,8.270738,0.800000,-0.281340
15.496372,2.456670,9.060914,1.718845,8.338468,0.800000,-0.223079
15.596379,2.470977,9.101861,1.766008,8.404732,0.800000,-0.172787
15.696350,2.485282,9.139946,1.814876,8.469790,0.800000,-0.130992
15.796334,2.499593,9.175227,1.865099,8.534103,0.800000,-0.101444
15.896320,2.513908,9.207736,1.916152,8.597762,0.800000,-0.079079
15.996391,2.528239,9.237532,1.950546,8.639913,0.800000,-0.057400
16.096370,2.542561,9.264600,2.002561,8.702794,0.800000,-0.049147
16.196390,2.556893,9.289013,2.054942,8.765378,0.800000,-0.045222
16.296348,2.571220,9.310785,2.107635,8.827706,0.800000,-0.045116
16.396386,2.585562,9.329982,2.160617,8.889797,0.800000,-0.048435
16.496347,2.599897,9.346610,2.213889,8.951645,0.800000,-0.054994
16.596353,2.614242,9.360727,2.267476,9.013228,0.800000,-0.065096
16.696341,2.628589,9.372360,2.321421,9.074505,0.800000,-0.079743
16.796349,2.642943,9.381550,2.375790,9.135414,0.800000,-0.101166
16.896328,2.657297,9.388329,2.430677,9.195866,0.800000,-0.134262
16.996351,2.671661,9.392738,2.486209,9.255720,0.800000,-0.189805
17.096342,2.686024,9.394809,2.542607,9.314756,0.642885,-0.297508
17.196338,2.700393,9.394582,2.597889,9.370063,0.368229,-0.531902
17.296347,2.714767,9.392092,2.647802,9.415954,0.138924,-1.063380
17.396343,2.729144,9.387375,2.691644,9.453003,-0.049195,-1.500000
17.496406,2.743534,9.380464,2.717180,9.473084,-0.143270,-1.500000
17.596399,2.757919,9.371403,2.749505,9.496738,-0.265401,-1.500000
17.696388,2.772307,9.360227,2.774144,9.513229,-0.345487,-1.500000
17.796379,2.786700,9.346970,2.790566,9.523260,-0.381890,-1.500000
17.896359,2.801096,9.331672,2.798285,9.527562,-0.373120,-1.500000
17.996364,2.815499,9.314363,2.796745,9.526841,-0.315934,-1.500000
18.096494,2.829925,9.295058,2.785613,9.521981,-0.209650,-1.500000
